n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,1910.0,167,14500.0
 2 ,74,4000.0,167,16800.0
 3 ,77,1640.0,167,17200.0
 4 ,84,2580.0,189,18300.0
 5 ,87,1130.0,189,25800.0
 6 ,113,1020.0,244,19200.0
 7 ,140,1580.0,303,18800.0
 8 ,185,679.0,399,10400.0
 9 ,208,1700.0,447,11200.0
10 ,228,719.0,490,9740.0
11 ,238,4910.0,519,7940.0
12 ,241,1020.0,519,7440.0
13 ,270,521.0,579,6670.0
14 ,277,339.0,593,5860.0
15 ,295,1790.0,633,6500.0
16 ,300,333.0,643,6070.0
17 ,328,345.0,701,3190.0
18 ,338,1110.0,725,5560.0
19 ,351,3570.0,754,4970.0
20 ,411,1360.0,881,3580.0
21 ,462,493.0,990,3090.0
22 ,487,294.0,1042,2860.0
23 ,510,2920.0,1092,3030.0
24 ,554,2290.0,1206,1940.0
25 ,559,722.0,1206,1930.0
26 ,564,755.0,1206,2140.0
27 ,583,2950.0,1247,2540.0
28 ,609,4100.0,1301,2030.0
29 ,619,1230.0,1323,2210.0
30 ,656,135.0,1404,1600.0
31 ,665,180.0,1427,1310.0
32 ,667,180.0,1427,1470.0
33 ,698,683.0,1491,1670.0
34 ,727,630.0,1552,1580.0
35 ,768,372.0,1659,1240.0
36 ,772,333.0,1659,1340.0
37 ,776,2040.0,1659,1160.0
38 ,795,453.0,1698,1180.0
39 ,827,486.0,1768,1610.0
40 ,860,401.0,1838,1530.0
41 ,904,105.0,1931,1080.0
42 ,911,2500.0,1946,1250.0
43 ,933,276.0,1993,1240.0
44 ,964,476.0,2068,1040.0
45 ,968,1480.0,2068,1060.0
46 ,1043,544.0,2229,1220.0
47 ,1115,1000.0,2391,1140.0
48 ,1120,1350.0,2391,1200.0
49 ,1238,524.0,2643,1230.0
50 ,1281,106.0,2730,521.0
51 ,1317,469.0,2810,592.0
52 ,1368,6300.0,2921,691.0
53 ,1377,272.0,2940,668.0
54 ,1401,129.0,3005,409.0
55 ,1408,247.0,3005,417.0
56 ,1460,15000.0,3117,468.0
57 ,1474,255.0,3146,237.0
58 ,1509,180.0,3220,309.0
59 ,1588,280.0,3406,220.0
60 ,1592,251.0,3406,245.0
61 ,1596,171.0,3406,233.0
62 ,1620,99.2,3456,251.0
63 ,1630,149.0,3478,196.0
64 ,1661,106.0,3545,215.0
65 ,1731,553.0,3694,252.0
66 ,1764,1300.0,3765,279.0
67 ,1847,109.0,3939,222.0
68 ,1919,55.5,4091,50.0
