n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,239,618.0,488,4700.0
 2 ,295,228.0,599,1890.0
 3 ,352,445.0,718,1380.0
 4 ,412,16000.0,844,1330.0
 5 ,511,479.0,1052,791.0
 6 ,583,457.0,1197,636.0
 7 ,609,718.0,1250,429.0
 8 ,675,83.0,1386,279.0
 9 ,726,126.0,1498,376.0
10 ,794,68.3,1633,262.0
11 ,860,56.6,1767,191.0
12 ,910,454.0,1873,277.0
13 ,933,50.4,1919,181.0
14 ,964,98.7,1990,207.0
15 ,968,263.0,1990,238.0
16 ,1000,30.2,2055,120.0
17 ,1119,260.0,2303,198.0
18 ,1237,90.2,2543,164.0
19 ,1368,48.7,2833,82.4
20 ,1377,48.0,2833,91.5
21 ,1460,2790.0,3009,116.0
22 ,1588,30.3,3267,66.9
23 ,1730,32.2,3558,36.1
24 ,1765,270.0,3631,41.8
