n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,101,1230.0,200,18900.0
 2 ,239,1890.0,488,16600.0
 3 ,295,699.0,601,5250.0
 4 ,320,217000.0,654,8240.0
 5 ,338,424.0,693,3690.0
 6 ,352,1580.0,720,3370.0
 7 ,511,1640.0,1052,2940.0
 8 ,563,86.5,1153,1110.0
 9 ,583,1460.0,1199,1660.0
10 ,609,2180.0,1251,1820.0
11 ,727,313.0,1496,1160.0
12 ,767,154.0,1576,1010.0
13 ,785,97.6,1613,824.0
14 ,794,229.0,1638,1460.0
15 ,859,217.0,1770,1050.0
16 ,903,68.6,1872,466.0
17 ,910,1270.0,1872,812.0
18 ,933,142.0,1921,569.0
19 ,964,297.0,1997,520.0
20 ,968,802.0,1997,696.0
21 ,1114,171.0,2308,542.0
22 ,1119,739.0,2308,758.0
23 ,1154,78.2,2371,478.0
24 ,1172,153.0,2410,701.0
25 ,1237,300.0,2546,631.0
26 ,1368,1300.0,2818,385.0
27 ,1377,177.0,2835,347.0
28 ,1400,61.9,2896,261.0
29 ,1407,82.6,2896,314.0
30 ,1460,8160.0,3007,399.0
31 ,1509,92.6,3110,214.0
32 ,1588,107.0,3265,164.0
33 ,1620,81.7,3332,90.7
34 ,1631,74.9,3356,138.0
35 ,1661,37.8,3417,105.0
36 ,1730,178.0,3563,136.0
37 ,1765,781.0,3645,207.0
38 ,1848,83.3,3802,102.0
