n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,67,2730.0,129,20900.0
 2 ,92,173000.0,184,36400.0
 3 ,170,261.0,339,5780.0
 4 ,260,570.0,530,4580.0
 5 ,280,21300.0,573,6270.0
 6 ,362,32000.0,741,3900.0
 7 ,405,352.0,829,1710.0
 8 ,456,1310.0,935,1710.0
 9 ,479,1300.0,981,1380.0
10 ,515,1110.0,1055,1740.0
11 ,540,208.0,1122,872.0
12 ,545,4470.0,1122,1030.0
13 ,565,3580.0,1162,1090.0
14 ,575,2140.0,1210,837.0
15 ,583,103.0,1210,683.0
16 ,588,130.0,1210,653.0
17 ,609,311.0,1254,894.0
18 ,620,2450.0,1278,933.0
19 ,633,14900.0,1305,781.0
20 ,659,624.0,1355,428.0
21 ,693,239.0,1424,300.0
22 ,714,12800.0,1475,648.0
23 ,725,316.0,1491,329.0
24 ,819,146.0,1685,207.0
25 ,910,143.0,1873,155.0
26 ,984,126.0,2024,99.2
27 ,994,1080.0,2045,148.0
28 ,1055,571.0,2173,96.6
29 ,1078,1660.0,2223,115.0
30 ,1119,67.7,2303,63.8
31 ,1368,109.0,2817,30.2
32 ,1460,715.0,3005,54.5
33 ,1765,67.3,3631,6.62
