n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,238,256.0,493,5980.0
 2 ,241,236.0,493,5790.0
 3 ,352,298.0,721,5730.0
 4 ,508,1940.0,1052,3780.0
 5 ,511,1690.0,1052,6050.0
 6 ,553,1020.0,1136,3420.0
 7 ,564,2260.0,1162,4510.0
 8 ,583,215.0,1196,3290.0
 9 ,602,173.0,1250,1910.0
10 ,609,328.0,1250,2370.0
11 ,1064,1930.0,2195,4740.0
12 ,1119,138.0,2301,2720.0
13 ,1368,1260.0,2817,5240.0
14 ,1423,118.0,2925,1790.0
15 ,1460,1780.0,3010,2430.0
16 ,1576,158000.0,3248,1360.0
17 ,1765,134.0,3631,77.0
