n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,39,922.0,87,1610.0
 2 ,68,340.0,167,4860.0
 3 ,70,607.0,167,5770.0
 4 ,72,929.0,167,5980.0
 5 ,74,1740.0,167,5470.0
 6 ,77,466.0,167,6520.0
 7 ,84,750.0,189,6940.0
 8 ,87,416.0,189,8120.0
 9 ,238,1800.0,511,4170.0
10 ,270,146.0,579,2130.0
11 ,295,778.0,632,2480.0
12 ,338,483.0,725,2400.0
13 ,351,1450.0,754,1890.0
14 ,411,21700.0,884,2030.0
15 ,463,176.0,993,1170.0
16 ,510,975.0,1095,1320.0
17 ,583,1280.0,1250,1120.0
18 ,609,1610.0,1302,912.0
19 ,675,129.0,1444,506.0
20 ,727,316.0,1554,573.0
21 ,768,169.0,1654,364.0
22 ,772,84.8,1654,387.0
23 ,785,88.9,1676,537.0
24 ,795,157.0,1699,592.0
25 ,860,205.0,1837,367.0
26 ,911,999.0,1949,621.0
27 ,934,147.0,1995,455.0
28 ,964,252.0,2072,293.0
29 ,968,645.0,2072,304.0
30 ,1120,493.0,2391,390.0
31 ,1238,197.0,2642,386.0
32 ,1377,148.0,2942,219.0
33 ,1407,78.0,3001,149.0
34 ,1460,5990.0,3119,199.0
35 ,1509,97.3,3222,93.3
36 ,1588,96.6,3399,95.2
37 ,1592,76.6,3399,92.3
38 ,1630,51.9,3476,53.1
39 ,1661,38.1,3541,48.7
40 ,1729,90.7,3687,49.5
41 ,1764,554.0,3764,81.2
42 ,1847,52.8,3939,55.7
