n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,11100.0,168,92000.0
 2 ,74,23300.0,168,83000.0
 3 ,77,6850.0,168,97800.0
 4 ,84,13000.0,203,131000.0
 5 ,87,8260.0,203,146000.0
 6 ,89,2810.0,203,134000.0
 7 ,92,5010.0,203,136000.0
 8 ,129,1800.0,280,116000.0
 9 ,186,4970.0,402,99600.0
10 ,209,2950.0,451,76900.0
11 ,238,31300.0,521,44000.0
12 ,241,6500.0,521,41600.0
13 ,270,3210.0,581,50800.0
14 ,277,1230.0,597,44600.0
15 ,295,12700.0,632,35500.0
16 ,300,2580.0,645,37400.0
17 ,328,2030.0,704,26500.0
18 ,338,7550.0,727,36300.0
19 ,351,23100.0,756,39900.0
20 ,409,1370.0,877,21500.0
21 ,439,491.0,942,22200.0
22 ,463,3170.0,993,24900.0
23 ,487,282.0,1040,10300.0
24 ,510,15100.0,1095,23600.0
25 ,562,564.0,1201,10600.0
26 ,583,19100.0,1249,18900.0
27 ,609,26800.0,1303,15000.0
28 ,665,979.0,1423,9620.0
29 ,727,4530.0,1555,11600.0
30 ,755,521.0,1614,8050.0
31 ,763,403.0,1648,6710.0
32 ,768,2600.0,1648,7220.0
33 ,772,965.0,1648,7040.0
34 ,782,276.0,1678,7560.0
35 ,785,1340.0,1678,7410.0
36 ,795,2780.0,1698,8620.0
37 ,806,733.0,1722,6960.0
38 ,830,471.0,1795,7390.0
39 ,835,1080.0,1795,7950.0
40 ,840,874.0,1795,8500.0
41 ,860,2880.0,1841,8720.0
42 ,893,367.0,1905,4550.0
43 ,904,578.0,1931,6780.0
44 ,911,16200.0,1947,7760.0
45 ,934,1820.0,1995,7400.0
46 ,964,3230.0,2068,6200.0
47 ,968,9970.0,2068,6090.0
48 ,1000,602.0,2139,9650.0
49 ,1078,302.0,2303,5700.0
50 ,1120,8280.0,2389,5710.0
51 ,1155,1060.0,2463,5730.0
52 ,1238,3090.0,2646,7700.0
53 ,1280,779.0,2735,6800.0
54 ,1377,2170.0,2939,3240.0
55 ,1385,377.0,2954,3010.0
56 ,1401,764.0,3003,2260.0
57 ,1407,1360.0,3003,2260.0
58 ,1460,95100.0,3119,3090.0
59 ,1496,648.0,3204,1310.0
60 ,1501,306.0,3204,1340.0
61 ,1509,1160.0,3229,1210.0
62 ,1512,291.0,3229,1290.0
63 ,1538,259.0,3292,1410.0
64 ,1543,188.0,3292,1360.0
65 ,1580,351.0,3410,1080.0
66 ,1583,375.0,3410,1160.0
67 ,1588,1890.0,3410,1150.0
68 ,1592,1490.0,3410,1130.0
69 ,1599,147.0,3410,1120.0
70 ,1620,802.0,3456,1460.0
71 ,1630,970.0,3479,1170.0
72 ,1638,280.0,3497,1040.0
73 ,1661,565.0,3557,1020.0
74 ,1666,124.0,3557,991.0
75 ,1684,112.0,3590,862.0
76 ,1729,1460.0,3690,1050.0
77 ,1764,8390.0,3764,1190.0
78 ,1805,83.8,3853,847.0
79 ,1838,99.3,3918,649.0
80 ,1847,1090.0,3941,908.0
81 ,1872,89.7,3992,611.0
82 ,1918,549.0,4091,408.0
