n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,651.0,158,3010.0
 2 ,74,1320.0,158,3190.0
 3 ,84,451.0,178,5860.0
 4 ,145,45600.0,303,5780.0
 5 ,238,716.0,492,1790.0
 6 ,295,481.0,610,1520.0
 7 ,338,207.0,697,827.0
 8 ,351,773.0,727,1180.0
 9 ,510,405.0,1053,693.0
10 ,583,516.0,1201,513.0
11 ,609,842.0,1252,286.0
12 ,727,166.0,1494,339.0
13 ,768,72.3,1575,245.0
14 ,794,83.4,1632,246.0
15 ,860,77.0,1767,188.0
16 ,911,463.0,1873,271.0
17 ,933,57.1,1916,176.0
18 ,964,85.6,1991,168.0
19 ,968,368.0,1991,162.0
20 ,1120,247.0,2299,230.0
21 ,1237,104.0,2541,250.0
22 ,1377,48.1,2825,107.0
23 ,1408,31.2,2885,69.9
24 ,1460,2890.0,2997,111.0
25 ,1508,22.8,3093,62.2
26 ,1729,53.5,3545,24.1
27 ,1764,259.0,3619,39.4
28 ,1847,40.6,3785,15.0
