n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,1090.0,168,5830.0
 2 ,74,2060.0,168,7040.0
 3 ,77,335.0,168,7300.0
 4 ,84,993.0,190,7820.0
 5 ,87,482.0,190,9150.0
 6 ,238,2210.0,511,4190.0
 7 ,295,869.0,635,3780.0
 8 ,320,29200.0,688,3910.0
 9 ,338,629.0,727,3130.0
10 ,351,1830.0,756,2540.0
11 ,462,221.0,990,1790.0
12 ,510,1480.0,1095,1890.0
13 ,583,1460.0,1250,1330.0
14 ,609,2150.0,1304,1210.0
15 ,727,313.0,1555,845.0
16 ,768,129.0,1641,717.0
17 ,785,96.0,1677,867.0
18 ,795,209.0,1700,777.0
19 ,860,199.0,1836,409.0
20 ,911,1250.0,1949,752.0
21 ,933,133.0,1997,651.0
22 ,964,227.0,2068,440.0
23 ,968,737.0,2068,427.0
24 ,1120,644.0,2392,591.0
25 ,1155,69.8,2463,393.0
26 ,1238,231.0,2643,531.0
27 ,1368,1810.0,2924,341.0
28 ,1377,175.0,2939,251.0
29 ,1401,85.7,3003,164.0
30 ,1408,102.0,3003,214.0
31 ,1460,7470.0,3120,293.0
32 ,1509,89.4,3218,105.0
33 ,1588,102.0,3398,101.0
34 ,1592,102.0,3398,76.1
35 ,1620,61.6,3455,114.0
36 ,1630,44.7,3480,101.0
37 ,1661,27.9,3541,80.9
38 ,1692,29.4,3611,69.6
39 ,1730,142.0,3694,133.0
40 ,1764,679.0,3764,113.0
41 ,1847,81.5,3939,93.0
