n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,40,13500.0,87,23000.0
 2 ,72,11100.0,161,80300.0
 3 ,74,22800.0,161,82800.0
 4 ,77,6570.0,161,85200.0
 5 ,84,13300.0,195,117000.0
 6 ,87,7900.0,195,118000.0
 7 ,90,3180.0,195,120000.0
 8 ,92,4610.0,195,122000.0
 9 ,128,2420.0,269,143000.0
10 ,154,936.0,329,32700.0
11 ,158,450.0,329,31600.0
12 ,185,4960.0,386,84000.0
13 ,209,2900.0,434,77400.0
14 ,231,711.0,478,54400.0
15 ,238,28900.0,501,40100.0
16 ,241,5700.0,501,43300.0
17 ,270,2810.0,558,43900.0
18 ,277,1270.0,574,41600.0
19 ,295,11600.0,609,75900.0
20 ,300,2440.0,620,38700.0
21 ,328,2030.0,676,53700.0
22 ,338,6920.0,709,60400.0
23 ,351,21600.0,727,37900.0
24 ,409,1320.0,843,23000.0
25 ,439,864.0,905,26400.0
26 ,462,2820.0,954,20900.0
27 ,480,743.0,990,25700.0
28 ,510,14100.0,1052,23200.0
29 ,562,586.0,1157,13200.0
30 ,569,636.0,1174,20200.0
31 ,583,17800.0,1199,17100.0
32 ,604,1970.0,1255,9710.0
33 ,609,25500.0,1255,9250.0
34 ,661,54000.0,1369,8900.0
35 ,665,957.0,1369,7820.0
36 ,727,4140.0,1496,11800.0
37 ,742,200.0,1524,5220.0
38 ,755,657.0,1551,9370.0
39 ,763,289.0,1586,4960.0
40 ,768,2790.0,1586,6330.0
41 ,772,877.0,1586,6990.0
42 ,782,302.0,1612,6840.0
43 ,785,1040.0,1612,6190.0
44 ,795,3770.0,1636,9930.0
45 ,806,606.0,1658,8350.0
46 ,830,254.0,1734,5710.0
47 ,835,908.0,1734,6930.0
48 ,840,660.0,1734,6870.0
49 ,860,2720.0,1770,8960.0
50 ,904,483.0,1856,6240.0
51 ,911,15300.0,1872,7670.0
52 ,930,246.0,1926,4220.0
53 ,934,1780.0,1926,5820.0
54 ,949,833.0,1952,8970.0
55 ,964,2910.0,1988,5840.0
56 ,968,9200.0,1988,5710.0
57 ,975,280.0,2001,5690.0
58 ,1000,449.0,2054,6390.0
59 ,1069,173.0,2193,3730.0
60 ,1094,240.0,2244,5070.0
61 ,1120,7900.0,2298,6370.0
62 ,1155,994.0,2370,6170.0
63 ,1173,1400.0,2406,7120.0
64 ,1238,3500.0,2543,9920.0
65 ,1258,141.0,2580,2880.0
66 ,1281,697.0,2626,4150.0
67 ,1332,1210.0,2733,4570.0
68 ,1401,627.0,2887,1910.0
69 ,1407,1240.0,2887,2480.0
70 ,1460,89000.0,2996,3100.0
71 ,1480,86.9,3033,1030.0
72 ,1495,455.0,3080,1260.0
73 ,1501,240.0,3080,1480.0
74 ,1509,1010.0,3100,1430.0
75 ,1512,159.0,3100,1350.0
76 ,1538,214.0,3169,1390.0
77 ,1543,207.0,3169,1310.0
78 ,1580,309.0,3283,1210.0
79 ,1583,367.0,3283,1370.0
80 ,1588,1860.0,3283,1360.0
81 ,1592,1480.0,3283,1340.0
82 ,1599,196.0,3283,1310.0
83 ,1620,903.0,3343,1210.0
84 ,1625,118.0,3343,1220.0
85 ,1630,920.0,3343,1230.0
86 ,1661,464.0,3404,775.0
87 ,1693,147.0,3469,762.0
88 ,1729,1480.0,3550,1240.0
89 ,1764,8080.0,3617,1030.0
90 ,1838,184.0,3771,1050.0
91 ,1847,1050.0,3787,1010.0
92 ,1873,82.9,3838,689.0
93 ,1996,355.0,4091,350.0
