n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,47,145000.0,105,48700.0
 2 ,53,50600.0,127,16800.0
 3 ,55,14300.0,127,13500.0
 4 ,57,582.0,127,11100.0
 5 ,72,2100.0,163,15400.0
 6 ,74,4040.0,163,17700.0
 7 ,84,1830.0,190,21700.0
 8 ,87,1190.0,190,19600.0
 9 ,94,276000.0,206,25200.0
10 ,119,542.0,260,9940.0
11 ,153,477.0,333,8490.0
12 ,238,441.0,513,4640.0
13 ,259,753.0,559,5560.0
14 ,279,26900.0,602,4720.0
15 ,352,401.0,756,3190.0
16 ,361,37700.0,777,3670.0
17 ,405,447.0,865,2030.0
18 ,456,1550.0,976,1610.0
19 ,479,1640.0,1029,1600.0
20 ,515,1060.0,1103,1320.0
21 ,540,166.0,1156,1350.0
22 ,545,5120.0,1170,1160.0
23 ,565,4010.0,1212,1270.0
24 ,575,2410.0,1229,690.0
25 ,583,238.0,1248,802.0
26 ,609,578.0,1305,742.0
27 ,620,2650.0,1328,670.0
28 ,633,16400.0,1357,977.0
29 ,660,739.0,1413,521.0
30 ,694,317.0,1486,444.0
31 ,715,14200.0,1531,660.0
32 ,725,372.0,1553,482.0
33 ,820,191.0,1752,236.0
34 ,860,51.5,1840,267.0
35 ,900,77.9,1922,253.0
36 ,911,224.0,1949,213.0
37 ,964,73.5,2068,117.0
38 ,968,163.0,2068,119.0
39 ,984,95.4,2099,100.0
40 ,994,1250.0,2126,189.0
41 ,1055,619.0,2255,150.0
42 ,1079,1790.0,2305,134.0
43 ,1120,136.0,2391,144.0
44 ,1368,179.0,2920,52.6
45 ,1460,1330.0,3119,56.0
46 ,1764,109.0,3763,11.5
