n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,938.0,164,10000.0
 2 ,74,1950.0,164,10100.0
 3 ,84,1430.0,191,12100.0
 4 ,87,423.0,191,10600.0
 5 ,238,592.0,511,4670.0
 6 ,295,220.0,635,3480.0
 7 ,351,519.0,756,2940.0
 8 ,508,994.0,1095,1290.0
 9 ,510,1710.0,1095,2060.0
10 ,553,594.0,1185,1360.0
11 ,564,487.0,1207,1990.0
12 ,583,418.0,1246,1320.0
13 ,609,582.0,1305,2020.0
14 ,860,102.0,1838,1060.0
15 ,911,415.0,1946,1560.0
16 ,968,230.0,2070,1410.0
17 ,1064,954.0,2276,1870.0
18 ,1120,219.0,2394,1860.0
19 ,1368,708.0,2919,1470.0
20 ,1460,2280.0,3116,626.0
21 ,1575,64200.0,3366,454.0
22 ,1764,185.0,3761,45.5
