n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,40,17100.0,87,28100.0
 2 ,72,13000.0,160,98000.0
 3 ,74,27800.0,160,101000.0
 4 ,77,7690.0,160,104000.0
 5 ,84,12800.0,189,114000.0
 6 ,87,5910.0,189,135000.0
 7 ,129,1790.0,269,126000.0
 8 ,185,5300.0,386,92200.0
 9 ,209,3710.0,434,93100.0
10 ,238,35200.0,499,48300.0
11 ,241,6620.0,499,45800.0
12 ,270,3270.0,558,57600.0
13 ,274,652.0,574,30200.0
14 ,277,2090.0,574,34600.0
15 ,295,14000.0,610,44600.0
16 ,299,2590.0,620,46600.0
17 ,327,2530.0,674,32700.0
18 ,338,8790.0,695,24200.0
19 ,351,26800.0,727,41000.0
20 ,409,1240.0,840,14700.0
21 ,462,3480.0,952,25800.0
22 ,510,16800.0,1052,27400.0
23 ,562,362.0,1156,15100.0
24 ,583,21700.0,1201,24000.0
25 ,609,31000.0,1254,16700.0
26 ,665,1230.0,1366,15800.0
27 ,719,345.0,1476,9300.0
28 ,727,5280.0,1494,12200.0
29 ,755,551.0,1549,11700.0
30 ,763,663.0,1587,9430.0
31 ,768,3420.0,1587,10300.0
32 ,772,1140.0,1587,10200.0
33 ,785,1180.0,1616,13200.0
34 ,794,3260.0,1634,16000.0
35 ,806,772.0,1657,13100.0
36 ,830,302.0,1727,9680.0
37 ,835,1350.0,1727,12900.0
38 ,840,1380.0,1727,12500.0
39 ,860,3240.0,1767,11800.0
40 ,904,538.0,1857,8980.0
41 ,911,18700.0,1873,12200.0
42 ,934,1990.0,1918,9440.0
43 ,964,3900.0,1988,6390.0
44 ,968,11400.0,1988,6770.0
45 ,1000,696.0,2053,6890.0
46 ,1032,287.0,2116,3980.0
47 ,1076,38800.0,2212,10000.0
48 ,1119,9990.0,2296,7440.0
49 ,1154,956.0,2369,7580.0
50 ,1207,353.0,2476,7190.0
51 ,1237,3840.0,2538,5980.0
52 ,1280,865.0,2629,6640.0
53 ,1377,2530.0,2824,2850.0
54 ,1385,596.0,2841,3890.0
55 ,1401,880.0,2887,2900.0
56 ,1407,1620.0,2887,2960.0
57 ,1460,110000.0,2998,3330.0
58 ,1495,684.0,3078,1590.0
59 ,1501,282.0,3078,1630.0
60 ,1509,1340.0,3105,1450.0
61 ,1512,310.0,3105,1620.0
62 ,1538,327.0,3162,1210.0
63 ,1543,217.0,3162,1390.0
64 ,1580,338.0,3279,1250.0
65 ,1583,356.0,3279,1470.0
66 ,1588,2140.0,3279,1460.0
67 ,1592,1740.0,3279,1450.0
68 ,1599,186.0,3279,1550.0
69 ,1620,1030.0,3345,1180.0
70 ,1624,170.0,3345,1290.0
71 ,1630,1140.0,3345,1200.0
72 ,1638,332.0,3359,1380.0
73 ,1661,549.0,3414,950.0
74 ,1666,86.4,3414,985.0
75 ,1684,151.0,3455,1210.0
76 ,1729,1840.0,3547,1540.0
77 ,1764,9990.0,3622,1600.0
78 ,1838,208.0,3767,1370.0
79 ,1847,1210.0,3792,1470.0
80 ,1873,120.0,3838,882.0
81 ,1996,420.0,4091,407.0
