n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,297.0,164,2320.0
 2 ,74,681.0,164,2000.0
 3 ,84,342.0,184,4110.0
 4 ,238,647.0,511,2090.0
 5 ,295,266.0,633,1670.0
 6 ,338,230.0,723,1620.0
 7 ,351,490.0,756,2170.0
 8 ,511,3940.0,1095,1540.0
 9 ,583,527.0,1247,771.0
10 ,609,594.0,1301,882.0
11 ,911,288.0,1945,982.0
12 ,934,103.0,1996,874.0
13 ,968,247.0,2070,737.0
14 ,1115,36000.0,2391,252.0
15 ,1120,217.0,2391,121.0
16 ,1237,52.9,2645,191.0
17 ,1401,19.6,2987,26.9
18 ,1460,2290.0,3118,73.0
19 ,1587,31.7,3396,23.5
20 ,1592,23.9,3396,29.9
21 ,1729,32.5,3686,17.3
22 ,1764,225.0,3765,38.4
