n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,16,53100.0,27,7100.0
 2 ,68,2020.0,132,61500.0
 3 ,76,1290.0,148,61700.0
 4 ,92,2030.0,177,50600.0
 5 ,103,14400.0,199,55600.0
 6 ,239,1680.0,473,51700.0
 7 ,295,811.0,577,29400.0
 8 ,320,1810000.0,633,38100.0
 9 ,338,372.0,668,10600.0
10 ,352,2150.0,691,8930.0
11 ,411,528.0,814,10500.0
12 ,438,179.0,860,4110.0
13 ,511,11800.0,1007,9560.0
14 ,554,2700.0,1111,4140.0
15 ,559,178.0,1111,4100.0
16 ,564,1370.0,1111,4060.0
17 ,583,1380.0,1150,6890.0
18 ,609,2620.0,1197,4100.0
19 ,618,1470.0,1214,3600.0
20 ,698,862.0,1373,4100.0
21 ,727,284.0,1427,3480.0
22 ,776,2530.0,1524,4430.0
23 ,827,680.0,1624,3420.0
24 ,860,105.0,1686,1800.0
25 ,910,1470.0,1788,4340.0
26 ,964,361.0,1901,2990.0
27 ,968,921.0,1901,3000.0
28 ,1000,329.0,1965,3170.0
29 ,1043,727.0,2053,4340.0
30 ,1115,609.0,2198,3860.0
31 ,1120,1230.0,2198,4250.0
32 ,1155,214.0,2268,2890.0
33 ,1173,1000.0,2304,4000.0
34 ,1238,586.0,2429,2700.0
35 ,1317,697.0,2583,1520.0
36 ,1332,844.0,2615,1640.0
37 ,1369,79400.0,2689,2690.0
38 ,1378,320.0,2705,1510.0
39 ,1402,114.0,2759,864.0
40 ,1408,207.0,2759,919.0
41 ,1461,13800.0,2869,1640.0
42 ,1476,463.0,2898,1260.0
43 ,1510,192.0,2966,1070.0
44 ,1526,115.0,2988,767.0
45 ,1589,205.0,3113,723.0
46 ,1622,105.0,3177,522.0
47 ,1734,1680.0,3399,1290.0
48 ,1767,1640.0,3462,1310.0
49 ,1850,173.0,3622,1060.0
