n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,15,11100.0,24,3050.0
 2 ,43,76400.0,84,43200.0
 3 ,51,42700.0,101,43200.0
 4 ,93,442000.0,186,63100.0
 5 ,114,778.0,231,11000.0
 6 ,119,682.0,231,9420.0
 7 ,140,1040.0,277,21200.0
 8 ,153,776.0,304,16800.0
 9 ,259,1430.0,510,7480.0
10 ,279,51300.0,553,11500.0
11 ,357,183.0,715,4490.0
12 ,361,76000.0,715,4450.0
13 ,405,759.0,794,2940.0
14 ,456,3160.0,901,5500.0
15 ,479,3290.0,942,3170.0
16 ,489,201.0,964,2910.0
17 ,515,2660.0,1012,4120.0
18 ,540,392.0,1078,1920.0
19 ,545,11200.0,1078,1800.0
20 ,565,8920.0,1117,3930.0
21 ,575,5270.0,1136,2700.0
22 ,588,186.0,1162,2090.0
23 ,610,364.0,1200,1300.0
24 ,620,6110.0,1224,2280.0
25 ,633,37800.0,1250,3620.0
26 ,659,1630.0,1296,1440.0
27 ,693,718.0,1365,1130.0
28 ,714,33300.0,1411,2410.0
29 ,725,895.0,1426,1450.0
30 ,819,483.0,1608,495.0
31 ,846,249.0,1660,517.0
32 ,899,269.0,1769,850.0
33 ,926,56.2,1816,153.0
34 ,984,297.0,1930,376.0
35 ,994,4660.0,1960,617.0
36 ,1055,1690.0,2074,207.0
37 ,1079,4770.0,2126,324.0
38 ,1369,557.0,2687,33.3
39 ,1462,88.5,2864,20.6
40 ,1814,43.3,3551,15.0
